model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
mistral,mistral_cfg_1,R4,0.3,0.9,1.1,256.0,40.401948453576125,13.345581871532394,82.63374116734614,88.31434213016652,-5.680600962820366,1.4098162426116536,0.6,0.4660875488790032,0.0,0.4775688802695748,0.33133148818009206,0.45618944299008124,0.2624161203690293,0.40549216405049887,49.87604262069421,51.98361474783032,-2.1075721271361245,0.7948023200035095
mistral,mistral_cfg_2,R0,0.1,0.85,1.1,256.0,38.61390873784033,13.63963388642932,84.76033794614484,88.31434213016652,-3.554004184021667,1.180985796024531,0.6,0.5059873210075732,0.0,0.40638958251433516,0.34559206987290325,0.4635818759398287,0.2780516170931323,0.4122732571256244,57.14572860016108,51.98361474783032,5.162113852330749,0.8012609332799911
mistral,mistral_cfg_2,R1,0.1,0.85,1.1,256.0,39.57415669848125,11.431602183003339,85.56012405058462,88.31434213016652,-2.754218079581892,1.5702299984826547,0.85,0.4128087910467638,0.0,0.47720209600266267,0.3368143807906536,0.43884805624395123,0.2537796629687259,0.39925501336990366,59.19438911409693,51.98361474783032,7.210774366266608,0.7931990802288056
mistral,mistral_cfg_2,R2,0.1,0.85,1.1,256.0,39.46710990235937,11.76529471942186,84.1107612324722,88.31434213016652,-4.203580897694304,1.311973892564034,0.6,0.43453879815704405,0.0,0.46773482607162054,0.37149879380784206,0.45091120465328355,0.25229283250429824,0.39950462493137334,57.92810782474733,51.98361474783032,5.944493076917,0.7954983800649643
mistral,mistral_cfg_2,R3,0.1,0.85,1.1,256.0,40.43446422090676,12.624830185713275,82.89577243302979,88.31434213016652,-5.4185696971367205,1.559628621039383,0.8,0.380055687277568,0.0,0.4949522245131215,0.3546825974354698,0.43454177781568565,0.2408328090226218,0.3753569837715756,55.99994397301016,51.98361474783032,4.016329225179829,0.7913865834474564
mistral,mistral_cfg_2,R4,0.1,0.85,1.1,256.0,38.81880577347149,11.094611976774235,87.2909261110651,88.31434213016652,-1.0234160191014041,1.519000046617358,1.05,0.3593806978470343,0.0,0.5023865333621113,0.35983553641441257,0.4150940361881659,0.2226984266343237,0.36314244354697206,59.29868476710984,51.98361474783032,7.315070019279514,0.7857368469238282
mistral,mistral_cfg_3,R0,0.2,0.85,1.1,256.0,40.06689458391271,13.214296314155382,81.93884073650807,88.31434213016652,-6.375501393658442,1.2264201009469695,0.75,0.4682895490287803,0.0,0.43025518635610577,0.3634367479446149,0.47082453442970423,0.27475948900258856,0.41470762163568786,58.04043978675637,51.98361474783032,6.056825038926043,0.7998507112264633
mistral,mistral_cfg_3,R1,0.2,0.85,1.1,256.0,40.270142523832504,12.054414840609406,82.19619400332793,88.31434213016652,-6.118148126838579,1.4440179155049053,0.85,0.43036605261067457,0.0,0.4839381949459186,0.3442801616520081,0.4596353049566645,0.27358131839890676,0.40242117441747516,56.1258544589701,51.98361474783032,4.14223971113978,0.792453619837761
mistral,mistral_cfg_3,R2,0.2,0.85,1.1,256.0,39.883697621191814,12.081081182715844,80.38680044635068,88.31434213016652,-7.927541683815844,1.3582782082486835,0.85,0.43196936173459444,0.0,0.47802748166407805,0.36640854158261893,0.4519938545171033,0.26033662560705145,0.3981677443513478,55.41022765324307,51.98361474783032,3.426612905412739,0.7965575158596039
mistral,mistral_cfg_3,R3,0.2,0.85,1.1,256.0,40.072037416650915,12.83463269579355,81.8510760477269,88.31434213016652,-6.463266082439604,1.506428630301909,0.65,0.39676860626221844,0.0,0.48086459171274337,0.3237280475579802,0.45160252985873717,0.26422149590127986,0.3985719652339136,50.81211362248074,51.98361474783032,-1.171501125349586,0.789797168970108
mistral,mistral_cfg_3,R4,0.2,0.85,1.1,256.0,40.051257336476546,10.958260697686,86.52144088264677,88.31434213016652,-1.7929012475197361,1.6240223323157914,1.2,0.3545275569521519,0.0,0.5279840061898885,0.35448943851898157,0.42138133150705387,0.23259560254869335,0.36480653193597945,60.89633698866494,51.98361474783032,8.912722240834617,0.7765372186899185
