additions_proportion,bertscore_f1,bleu,compression_ratio_eval,config_label,config_signature,deletions_proportion,exact_copy,fernandez_huerta_delta,fernandez_huerta_pred,fernandez_huerta_src,gen_do_sample,gen_max_new_tokens,gen_no_repeat_ngram_size,gen_repetition_penalty,gen_temperature,gen_top_p,inflesz_delta,inflesz_pred,inflesz_src,leader_score,levenshtein_similarity,model_key,owner,prompt_family,rouge1_f,rouge2_f,rougeL_f,ruleset,sari,sentence_splits
0.3919254576744292,0.8071358233690262,14.297969262780136,0.8616919719454137,llama3_cfg_3,few-shot | hariel | llama3 | llama3_cfg_3 | R1 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0 | do_sample=NA | ngram=NA,0.4814667466137095,0.0,-6.149181433977059,82.16516069618946,88.31434213016652,NA,256.0,NA,1.15,0.3,0.9,12.371868344462367,64.3554830922927,51.98361474783032,58.01346415514875,0.4655484214121569,llama3,hariel,few-shot,0.4772117601436907,0.2841981347718528,0.4172461243965146,R1,42.88005203397951,0.7
0.3526258462040196,0.8053229928016663,15.394757222529725,0.7817100428746103,llama3_cfg_2,few-shot | nancy | llama3 | llama3_cfg_2 | R2 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0 | do_sample=NA | ngram=NA,0.502510741125859,0.0,-4.121398380031192,84.19294375013531,88.31434213016652,NA,512.0,NA,1.1,0.7,0.9,14.243036937741168,66.2266516855715,51.98361474783032,57.99484719084045,0.490717867783478,llama3,nancy,few-shot,0.4798499404332563,0.2833028670052916,0.3987818815649341,R2,42.96987913128967,0.3
0.3251931238842117,0.8030352979898453,15.378169002151598,0.8077180211135069,llama3_cfg_2,few-shot | hariel | llama3 | llama3_cfg_2 | R0 | temp=0.2 | top_p=0.9 | rep=1.1 | max_new=256.0 | do_sample=NA | ngram=NA,0.4699780249577155,0.0,-6.890115947299631,81.42422618286687,88.31434213016652,NA,256.0,NA,1.1,0.2,0.9,14.53389060251043,66.51750535034076,51.98361474783032,57.969579599220964,0.5235368259370501,llama3,hariel,few-shot,0.4899883371195869,0.2999048431343014,0.4116650635964948,R0,43.08027946604526,0.7
0.3389313650709224,0.8003803998231888,14.955278527176093,0.7615295391877365,llama3_cfg_2,few-shot | nancy | llama3 | llama3_cfg_2 | R1 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0 | do_sample=NA | ngram=NA,0.5001751480397315,0.0,-4.549150278638505,83.765191851528,88.31434213016652,NA,512.0,NA,1.1,0.7,0.9,17.137421041223185,69.12103578905351,51.98361474783032,57.67688680510729,0.4817103771160398,llama3,nancy,few-shot,0.4679459393089236,0.2863155795439156,0.4189759324039953,R1,42.769451353632896,0.55
0.2645336484234662,0.807976508140564,17.534298908494026,0.7612649065859755,llama3_cfg_1,few-shot | hariel | llama3 | llama3_cfg_1 | R2 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0 | do_sample=NA | ngram=NA,0.4434086059520571,0.0,-2.3136298663293844,86.00071226383713,88.31434213016652,NA,256.0,NA,1.05,0.2,0.85,19.5360246805132,71.51963942834352,51.98361474783032,57.65036546881517,0.5437165249293112,llama3,hariel,few-shot,0.4979840410787323,0.318418106154654,0.4435579469464026,R2,42.21884190532101,0.65
0.3356134470347857,0.8027568548917771,14.237674601475891,0.746943911730235,hariel_llama3_cfg_1,zero-shot | hariel | llama3 | hariel_llama3_cfg_1 | R0 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0 | do_sample=NA | ngram=NA,0.509976434001852,0.0,-1.3139260371398638,87.00041609302664,88.31434213016652,NA,256.0,NA,1.05,0.2,0.85,21.25546924918813,73.23908399701847,51.98361474783032,57.30087036837028,0.4720742278512661,llama3,hariel,zero-shot,0.4832064114655826,0.2885518107534568,0.4050198262080407,R0,41.98432695449868,0.7
0.3859380532533384,0.8014830052852631,14.4215827909141,0.9023078921495348,nancy_mistral_cfg_2,zero-shot | nancy | mistral | nancy_mistral_cfg_2 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=400.0 | do_sample=True | ngram=4.0,0.462206278233446,0.0,-11.558589836880667,76.75575229328584,88.31434213016652,True,400.0,4.0,1.15,0.3,0.9,10.669576690819682,62.653191438650005,51.98361474783032,57.20188532312348,0.5037805269684994,mistral,nancy,zero-shot,0.4729949166151829,0.2807208349256412,0.3964661680867898,R4,41.90427518618826,1.2
0.2902116193060465,0.8058062970638276,15.959837122909132,0.7861525074759517,llama3_cfg_1,few-shot | hariel | llama3 | llama3_cfg_1 | R4 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256.0 | do_sample=NA | ngram=NA,0.4497171319691482,0.0,-2.918694913605976,85.39564721656053,88.31434213016652,NA,256.0,NA,1.05,0.2,0.85,19.70431567797453,71.68793042580486,51.98361474783032,57.093612763837754,0.5234478335186513,llama3,hariel,few-shot,0.4921496050894626,0.2908805499260075,0.4210036576064361,R4,41.43560146880776,0.8
0.3780197686655487,0.801238602399826,13.59832948695758,0.8388591938599541,llama3_cfg_1,few-shot | nancy | llama3 | llama3_cfg_1 | R0 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0 | do_sample=NA | ngram=NA,0.4947780310652276,0.0,-5.639000831439656,82.67534129872686,88.31434213016652,NA,256.0,NA,1.15,0.3,0.9,13.512965676842343,65.49658042467267,51.98361474783032,56.973766611253495,0.4944011161022595,llama3,nancy,few-shot,0.4574211013927868,0.2692130379102038,0.377288737575526,R0,41.54037085876743,0.6
0.4254722235986333,0.7934622526168823,13.87519698053932,0.7961064111677782,llama3_cfg_1,few-shot | nancy | llama3 | llama3_cfg_1 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0 | do_sample=NA | ngram=NA,0.5507575157597245,0.0,-2.978386537216424,85.33595559295009,88.31434213016652,NA,256.0,NA,1.15,0.3,0.9,17.693822524194996,69.67743727202533,51.98361474783032,56.9434206787288,0.4558095551874972,llama3,nancy,few-shot,0.4261582577165598,0.2505376988409521,0.3638772984776774,R4,42.0082176234225,0.55
0.3627275650416154,0.7972139269113541,13.296023093839812,0.8024354731851882,llama3_cfg_3,few-shot | hariel | llama3 | llama3_cfg_3 | R0 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0 | do_sample=NA | ngram=NA,0.4939056679606519,0.0,-4.242527184083465,84.07181494608304,88.31434213016652,NA,256.0,NA,1.15,0.3,0.9,16.846466191074633,68.83008093890496,51.98361474783032,56.88345259471771,0.513709851482117,llama3,hariel,few-shot,0.4674941467113434,0.2670963640600107,0.3789773300413516,R0,41.65815919710591,0.6
