model_key,prompt_type,ruleset,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
llama3,few-shot,R0,40.722889051787575,13.94488190992779,82.92066944405036,88.31434213016652,-5.393672686116156,0.7803563240111531,0.575,0.5091417359200554,0.0,0.34267795657810357,0.49603441783799135,0.44838997317230317,0.26523079082289436,0.38191411355842536,67.49112611362246,51.98361474783032,15.507511365792123,0.8011651292443276
llama3,few-shot,R4,42.35619716417408,14.763527676690108,84.20748431667955,88.31434213016652,-4.106857813486956,0.7881514707635386,0.65,0.4691945864500666,0.0,0.39281415832730326,0.5267039232907164,0.4464164173951084,0.26438055733093313,0.38194064704930364,69.63745150054108,51.98361474783032,17.653836752710752,0.7960493698716163
llama3,zero-shot,R0,38.428585851252485,10.256501216788443,84.91168245987218,88.31434213016652,-3.4026596702943324,0.7665469793674926,0.725,0.4330128677961862,0.0,0.47426518107163973,0.5985872128436858,0.39768544945434264,0.21297931355224536,0.32895928008545394,72.6424014189679,51.98361474783032,20.658786671137584,0.7844886273145676
llama3,zero-shot,R4,39.08480295056794,9.952733222801145,83.8006735276941,88.31434213016652,-4.513668602472416,0.8161834868248012,0.9,0.43790495273359104,0.0,0.48996706908832044,0.5894543507518424,0.41484636969334715,0.2172652785936074,0.35858290022362305,71.11503990509257,51.98361474783032,19.13142515726225,0.7874546065926552
mistral,few-shot,R0,39.31507326774724,12.288323711243407,81.22856726181905,88.31434213016652,-7.085774868347471,1.4119508792966846,1.0,0.43072943588053275,0.0,0.4848873516888438,0.3596244293810365,0.44202515984269264,0.25618245978057735,0.3843916505839648,55.73332892020776,51.98361474783032,3.7497141723774376,0.7879085794091225
mistral,few-shot,R4,39.51226525826569,10.805862312390044,83.265514293452,88.31434213016652,-5.04882783671452,1.5827633411510997,0.925,0.3636164045242384,0.0,0.520432240909321,0.35491011081948176,0.41829567208197027,0.22783046859762163,0.35706931136204106,55.55185911464414,51.98361474783032,3.5682443668138113,0.7787026911973953
mistral,zero-shot,R0,40.32533135532917,12.168865864796075,83.54984937462027,88.31434213016652,-4.764492755546242,1.0167576348436134,0.675,0.48713354807848397,0.0,0.3990190878832199,0.4463885159642336,0.4588255162673402,0.2551546371940966,0.39139505326409707,63.95068470634461,51.98361474783032,11.967069958514282,0.7908554509282112
mistral,zero-shot,R4,40.87199372567231,12.695306050748856,82.14515708051059,88.31434213016652,-6.169185049655927,1.07775712498781,0.875,0.4634838636760402,0.0,0.41206461481167767,0.44989925626718386,0.4500889899289133,0.26248630858193506,0.37409777860782284,65.04893786010133,51.98361474783032,13.065323112271006,0.7954402819275856
