system_name,system_family,n_textos,sari,bleu,bertscore_f1,rouge1_f,rouge2_f,rougeL_f,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,inflesz_pred,inflesz_src,inflesz_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,leader_score,rank_cuantitativo,norm_sari,norm_bertscore_f1,norm_rougeL_f,norm_exact_copy,norm_compression_ratio_eval,norm_leader_score,aux_quant_score,score_cuantitativo_integral,score_cuantitativo_integral_100,rank_cuantitativo_integral,n_textos_cualitativos,score_cualitativo_promedio_1_5,score_cualitativo_mediano_1_5,score_cualitativo_min_1_5,score_cualitativo_max_1_5,score_cualitativo_promedio_100,promedio_fidelidad,promedio_fluidez,promedio_estructura,promedio_numeros,rank_cualitativo,score_final_integral_100,rank_final_integral
lora_llama3,lora,36,44.21818318013502,,0.895691509048144,,,0.6868847759247666,,,,,,,0.8353162430197871,,,0.1388888888888889,,,62.358570270006766,1,1.0,1.0,1.0,0.2857142857142857,0.25929890943176515,1.0,0.7090026390292101,0.8545013195146051,85.4501319514605,1,36,,,,,,,,,,3,,1
lora_mistral,lora,36,39.99061988039763,,0.8919685002830293,,,0.679365163395954,,,,,,,0.8686386032428581,,,0.19444444444444445,,,59.67311193955975,2,0.6125813822064372,0.9660715827978362,0.9770097644666358,0.0,0.50107461600158,0.7544506236372999,0.6113474690944979,0.6828990463658988,68.28990463658988,2,36,,,,,,,,,,4,,2
few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,36,34.09699686042274,,0.8070672684245639,,,0.3764950284016594,,,,,,,1.0625977827203914,,,0.0,,,52.7408888532362,4,0.07248319270402807,0.19235210019464788,0.0510237894100016,1.0,1.0,0.12059120517053921,0.46317181646173555,0.2918815108161374,29.18815108161374,3,36,,,,,,,,,,1,,3
few-shot_nancy_llama3_llama3_cfg_2_R2,prompting,36,33.89090602062766,,0.8080236150158776,,,0.3697336576884963,,,,,,,0.9143333544504453,,,0.0,,,52.655488213011694,5,0.05359679819438591,0.2010674506509769,0.030351779432307303,1.0,0.8326201813753433,0.11278245471988069,0.42352724193060265,0.26815484832524167,26.815484832524167,4,36,,,,,,,,,,2,,4
zero-shot_hariel_mistral_hariel_mistral_cfg_1_R4,prompting,36,36.17082789258502,,0.7934984034962125,,,0.3736932882744699,,,,,,,1.2004212253475723,,,0.0,,,53.442432875399504,3,0.2625313824183287,0.06869670766302816,0.04245783402592348,1.0,0.0,0.18473805681969707,0.27473718482145604,0.22973762082057655,22.973762082057654,5,36,,,,,,,,,,5,,5
zero-shot_nancy_mistral_nancy_mistral_cfg_2_R4,prompting,36,33.30605065585334,,0.7859602255953683,,,0.35980624217508345,,,,,,,1.1119771166650414,,,0.0,,,51.42203941732673,6,0.0,0.0,0.0,1.0,0.6417203561064464,0.0,0.3283440712212893,0.16417203561064464,16.417203561064465,6,36,,,,,,,,,,6,,6
