model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,owner,leader_score,config_signature
llama3,llama3_cfg_2,R0,0.7,0.9,1.1,512.0,40.1487074824826,12.85575669862165,83.31421543757543,88.31434213016652,-5.000126692591094,0.8406326982168764,0.55,0.5230087744848617,0.0,0.3596630394616328,0.4738486238243073,0.4461626901872966,0.2580974753089899,0.3876237620392337,64.29431922889324,51.98361474783032,12.310704481062922,0.7995883256196976,nancy,56.07275751427746,nancy | llama3 | llama3_cfg_2 | R0 | temp=0.7 | top_p=0.9 | rep=1.1 | max_new=512.0
mistral,mistral_cfg_3,R0,0.2,0.85,1.1,256.0,40.06689458391271,13.214296314155382,81.93884073650807,88.31434213016652,-6.375501393658442,1.2264201009469695,0.75,0.4682895490287803,0.0,0.4302551863561057,0.3634367479446149,0.4708245344297042,0.2747594890025885,0.4147076216356878,58.04043978675637,51.98361474783032,6.056825038926043,0.7998507112264633,hariel,56.03416519940616,hariel | mistral | mistral_cfg_3 | R0 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_1,R4,0.3,0.9,1.1,256.0,40.401948453576125,13.345581871532394,82.63374116734614,88.31434213016652,-5.680600962820366,1.4098162426116536,0.6,0.4660875488790032,0.0,0.4775688802695748,0.331331488180092,0.4561894429900812,0.2624161203690293,0.4054921640504988,49.87604262069421,51.98361474783032,-2.1075721271361245,0.7948023200035095,hariel,56.033261872286054,hariel | mistral | mistral_cfg_1 | R4 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_2,R3,0.1,0.85,1.1,256.0,40.43446422090676,12.624830185713275,82.89577243302979,88.31434213016652,-5.4185696971367205,1.559628621039383,0.8,0.380055687277568,0.0,0.4949522245131215,0.3546825974354698,0.4345417778156856,0.2408328090226218,0.3753569837715756,55.99994397301016,51.98361474783032,4.016329225179829,0.7913865834474564,hariel,55.91614187044231,hariel | mistral | mistral_cfg_2 | R3 | temp=0.1 | top_p=0.85 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_3,R1,0.2,0.85,1.1,256.0,40.2701425238325,12.054414840609406,82.19619400332793,88.31434213016652,-6.118148126838579,1.444017915504905,0.85,0.4303660526106745,0.0,0.4839381949459186,0.3442801616520081,0.4596353049566645,0.2735813183989067,0.4024211744174751,56.1258544589701,51.98361474783032,4.14223971113978,0.792453619837761,hariel,55.860230307809935,hariel | mistral | mistral_cfg_3 | R1 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_3,R3,0.3,0.9,1.15,256.0,40.620749494176906,11.56909078511735,84.60880733419688,88.31434213016652,-3.705534795969621,0.7897809686224088,0.75,0.4774150320921884,0.0,0.4307946438520017,0.5545363538392614,0.4153519620526881,0.2358066474080601,0.3419355329840945,72.06989675087793,51.98361474783032,20.086282003047607,0.7866055339574813,hariel,55.83667105480539,hariel | llama3 | llama3_cfg_3 | R3 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
mistral,mistral_cfg_3,R2,0.2,0.85,1.1,256.0,39.88369762119181,12.081081182715844,80.38680044635068,88.31434213016652,-7.927541683815844,1.3582782082486835,0.85,0.4319693617345944,0.0,0.478027481664078,0.3664085415826189,0.4519938545171033,0.2603366256070514,0.3981677443513478,55.41022765324307,51.98361474783032,3.426612905412739,0.7965575158596039,hariel,55.79251920709924,hariel | mistral | mistral_cfg_3 | R2 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256.0
mistral,mistral_cfg_1,R1,0.3,0.9,1.1,256.0,40.2392510185799,11.886536409934015,82.46858505733645,88.31434213016652,-5.8457570728300565,1.4091288160180988,1.1,0.4887836445097618,0.0,0.48942417718824,0.3593059565891934,0.4470551503590652,0.2566143444247552,0.3977218031379729,58.01692646593027,51.98361474783032,6.03331171809995,0.7899058997631073,hariel,55.739786601672236,hariel | mistral | mistral_cfg_1 | R1 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256.0
llama3,llama3_cfg_1,R2,0.3,0.9,1.15,256.0,40.49146404175454,12.228606470313307,81.34529054646211,88.31434213016652,-6.969051583704411,0.8074471085433116,0.8,0.4545492125381531,0.0,0.3952757488400562,0.545013779903282,0.4371920281637341,0.2354314595531506,0.3595790893227746,72.24756177462551,51.98361474783032,20.26394702679519,0.7846686094999313,nancy,55.681622805049976,nancy | llama3 | llama3_cfg_1 | R2 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=256.0
mistral,mistral_cfg_3,R3,0.2,0.85,1.1,256.0,40.07203741665092,12.83463269579355,81.8510760477269,88.31434213016652,-6.463266082439604,1.506428630301909,0.65,0.3967686062622184,0.0,0.4808645917127433,0.3237280475579802,0.4516025298587371,0.2642214959012798,0.3985719652339136,50.81211362248074,51.98361474783032,-1.171501125349586,0.789797168970108,hariel,55.63510920879487,hariel | mistral | mistral_cfg_3 | R3 | temp=0.2 | top_p=0.85 | rep=1.1 | max_new=256.0
