model_key,prompt_type,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
mistral,few-shot,R4,0.2,0.85,1.15,256.0,38.913256293633744,9.887668226706165,83.76162245489317,88.31434213016652,-4.5527196752733445,1.5193987147772545,0.95,0.3722169929464973,0.0,0.5162555707857148,0.3884304184001325,0.3977146590263737,0.21004024663911847,0.345566436399657,58.056728600551466,51.98361474783032,6.073113852721144,0.7773395657539368
mistral,few-shot,R4,0.2,0.9,1.05,256.0,39.2233685784809,13.057805923647226,84.39394937209605,88.31434213016652,-3.920392758070469,1.3622613977617268,0.6,0.4037331953744417,0.0,0.43800504395713585,0.3311971827459406,0.45443180709850994,0.25792805766996396,0.3899013233531593,57.90475304772004,51.98361474783032,5.921138299889723,0.7888189017772674
mistral,few-shot,R4,0.2,0.9,1.1,256.0,38.46422108727831,11.640374370807475,84.0544812730649,88.31434213016652,-4.259860857101626,1.406905271509697,0.5,0.4251042843885503,0.0,0.4446832047955726,0.32961002196424327,0.44375805867961154,0.24691285177719532,0.3693121101674239,53.242276068603665,51.98361474783032,1.2586613207733435,0.7863856554031372
mistral,few-shot,R4,0.2,0.9,1.15,256.0,39.02694068901904,10.122023231624755,81.23396362136302,88.31434213016652,-7.080378508803506,1.54839200151905,0.85,0.3689910876964587,0.0,0.501036552650369,0.3732888690482332,0.39285032322509417,0.2053426068278829,0.3442929544302404,55.04511534675994,51.98361474783032,3.061500598929618,0.780112835764885
mistral,few-shot,R4,0.3,0.85,1.05,256.0,40.68831459037603,12.180409989733135,83.64288815229094,88.31434213016652,-4.671453977875578,1.6179340270750338,2.2,0.3810633109230586,0.0,0.4962889683992137,0.30543497806318,0.4343548654063757,0.24496367432431065,0.3777620972704551,64.19406847486977,51.98361474783032,12.210453727039445,0.7733873963356018
mistral,few-shot,R4,0.3,0.85,1.1,256.0,37.74002577740043,8.992494272743944,86.46194737990066,88.31434213016652,-1.8523947502658438,1.6536712270287588,1.0,0.4103501686673045,0.0,0.5413762616497048,0.3487579403848795,0.39348368659120625,0.20900653290341586,0.33289551246305255,58.80904167807246,51.98361474783032,6.825426930242135,0.7669681459665298
mistral,few-shot,R4,0.3,0.85,1.15,256.0,38.25679066612772,9.150344425082812,82.99308252839327,88.31434213016652,-5.32125960177323,1.4600137093989025,1.25,0.38909714066693424,0.0,0.5201087336091761,0.3819759090442164,0.40523388075306005,0.20261537200401833,0.33161579323277024,57.75994698397411,51.98361474783032,5.776332236143783,0.7702204436063766
mistral,few-shot,R4,0.3,0.9,1.05,256.0,38.8897274902544,11.995275588344576,83.0574814375987,88.31434213016652,-5.256860692567819,1.5670272757887556,0.85,0.3795716125763615,0.0,0.4886098367202079,0.32632636166067897,0.43613871916357805,0.24446875607840682,0.3690037358326584,59.26816232105557,51.98361474783032,7.2845475732252485,0.7811684101819992
mistral,few-shot,R4,0.3,0.9,1.1,256.0,40.18565703933702,11.50466325675955,81.02445220864816,88.31434213016652,-7.289889921518355,1.5244794712925047,0.8,0.33813200599084897,0.0,0.5045143107601604,0.3447497203119484,0.4414175103410347,0.23901551642482438,0.3798557862643363,53.6043662643602,51.98361474783032,1.6207515165298765,0.7776652812957764
mistral,few-shot,R4,0.3,0.9,1.15,256.0,39.78977108298176,9.939735646011519,84.86836689920288,88.31434213016652,-3.4459752309636316,1.6355893756461595,0.8,0.34346740011253807,0.0,0.5431109860052239,0.37206366817738046,0.39158615184829093,0.20646987976698755,0.3398362998488464,54.33658897395593,51.98361474783032,2.3529742261256077,0.7706750810146332
