model_name,ruleset_name,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
llama3,R0,35.32551972981704,14.236781679161533,71.6917589122002,74.52489383187648,-2.833134919676283,0.7039413703567315,0.26666666666666666,0.4789746002196353,0.0,0.433321391003146,0.5973642426689574,0.459920707735628,0.24363925584352256,0.4104004806159823,59.741371989714224,45.36153990179299,14.379832087921239,0.8099426070849101
llama3,R2,34.894855091426365,12.994047104560654,73.48127147788526,74.52489383187648,-1.043622353991227,0.6938577001460183,0.36666666666666664,0.4738930193788624,0.0,0.48840563565602263,0.6390282087647999,0.43346078335442584,0.21810553855725232,0.38092009308720665,63.45114003374627,45.36153990179299,18.089600131953294,0.8022979060808818
mistral,R0,34.207876059321315,11.889797403830157,70.2804871810511,74.52489383187648,-4.244406650825386,1.0553333406307297,0.6666666666666666,0.3878790794517224,0.0,0.5328964528491256,0.5659332605673778,0.4046733957942609,0.22453541256082213,0.3666600974122786,55.35549794266022,45.36153990179299,9.993958040867234,0.7758988797664642
mistral,R2,33.711844048598124,11.41483840846291,71.595180787346,74.52489383187648,-2.9297130445304873,1.0811797005719797,0.8,0.4138666040416766,0.0,0.5276901497969416,0.5629791171072098,0.403578511087697,0.21004501763019162,0.3639489384236879,57.15676988599856,45.36153990179299,11.795229984205577,0.7738445639610291
