model_name,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1
llama3,35.1101874106217,13.615414391861092,72.58651519504274,74.52489383187648,-1.938378636833755,0.6988995352513748,0.31666666666666665,0.4764338097992489,0.0,0.4608635133295843,0.6181962257168786,0.4466907455450269,0.2308723972003874,0.39566028685159443,61.59625601173025,45.36153990179299,16.234716109937263,0.8061202565828959
mistral,33.95986005395972,11.652317906146532,70.93783398419855,74.52489383187648,-3.5870598476779367,1.0682565206013548,0.7333333333333333,0.4008728417466995,0.0,0.5302933013230337,0.5644561888372939,0.40412595344097896,0.2172902150955069,0.3653045179179833,56.256133914329396,45.36153990179299,10.894594012536405,0.7748717218637466
