prompt_family,owner,model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,gen_do_sample,gen_no_repeat_ngram_size,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,leader_score
few-shot,hariel,llama3,llama3_cfg_3,R1,0.3,0.9,1.15,256,NA,NA,36.1616321438465,13.83307437466005,74.98927862955307,81.01056282029647,-6.021284190743407,1.0403412367454963,0.1111111111111111,0.4956805934823889,0.0,0.5022787153292484,0.5848545502873219,0.44790725869424897,0.2462177721921867,0.40285919459903075,61.14188310449023,59.59913621324209,1.5427468912481335,0.8145342336760627,54.278348633350404
few-shot,nancy,llama3,llama3_cfg_2,R2,0.7,0.9,1.1,512,NA,NA,35.02503443089489,13.573317093450951,78.66719635726518,81.01056282029647,-2.3433664630312956,0.9233324852887714,0.1388888888888889,0.5205733928097144,0.0,0.5066070115300048,0.5922028995052571,0.44602530909240884,0.2278219770525825,0.3893808505550792,66.48701512867164,59.59913621324209,6.887878915429545,0.8188444508446587,53.76879869232328
zero-shot,hariel,llama3,hariel_llama3_cfg_1,R0,0.2,0.85,1.05,256,NA,NA,34.58013556794555,13.260888495198733,74.2445910209348,81.01056282029647,-6.765971799361675,0.7633178457200437,0.05555555555555555,0.4995740012612889,0.0,0.4585375573717432,0.6091969362784558,0.4414232203404877,0.22933342861864897,0.3874526928345289,64.03023009231293,59.59913621324209,4.431093879070826,0.8132404800918367,53.2777005444408
zero-shot,nancy,mistral,nancy_mistral_cfg_2,R4,0.3,0.9,1.15,400,True,4.0,36.57788778897991,10.729644688218034,76.55614178552781,81.01056282029647,-4.454421034768669,1.2617578991852874,0.8055555555555556,0.42587951151729414,0.0,0.5744383764212769,0.5401197823104303,0.42173380951343725,0.21208219198406753,0.3808494937113609,65.67303056187187,59.59913621324209,6.073894348629768,0.7739193124903573,52.90350517300223
