system_name,system_family,n_rows,sari,bertscore_f1,rougeL_f,compression_ratio_eval,exact_copy,leader_score
lora_llama3,lora,36,44.21818318013502,0.895691509048144,0.6868847759247666,0.8353162430197871,0.1388888888888889,62.358570270006766
lora_mistral,lora,36,39.99061988039763,0.8919685002830293,0.679365163395954,0.8686386032428581,0.19444444444444445,59.67311193955975
zero-shot_hariel_mistral_hariel_mistral_cfg_1_R4,prompting,36,36.17082789258502,0.7934984034962125,0.3736932882744699,1.2004212253475723,0.0,53.442432875399504
few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,36,34.09699686042274,0.8070672684245639,0.3764950284016594,1.0625977827203914,0.0,52.7408888532362
few-shot_nancy_llama3_llama3_cfg_2_R2,prompting,36,33.89090602062766,0.8080236150158776,0.3697336576884963,0.9143333544504453,0.0,52.655488213011694
zero-shot_nancy_mistral_nancy_mistral_cfg_2_R4,prompting,36,33.30605065585334,0.7859602255953683,0.35980624217508345,1.1119771166650414,0.0,51.42203941732673
