system_name,system_family,version,n_textos,sari,bleu,bertscore_f1,rouge1_f,rouge2_f,rougeL_f,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,inflesz_pred,inflesz_src,inflesz_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,leader_score,base_system_name
lora_llama3,lora,base,36,45.340000188846574,43.80286933469419,0.8956915587186813,0.7164830679145725,0.5780174222683032,0.6868847759247666,72.74707810473795,81.01056282029647,-8.263484715558526,62.05394368587172,59.599136213242105,2.4548074726296165,0.8353162430197871,0.2777777777777778,0.8115453309455039,0.1388888888888889,0.0633524499808138,0.22193020107771066,63.031662462055195,lora_llama3
lora_llama3_self_refine_llama3,self_refine,self_refine,36,44.17351321147661,28.907552814264438,0.8688236309422387,0.6183525363817687,0.4321534950482268,0.5748643600268105,70.1479362304655,81.01056282029647,-10.86262658983099,61.727772933638825,59.599136213242105,2.1286367203967327,0.730952600909366,0.19444444444444445,0.6754715358252938,0.0,0.22858827244237323,0.4423362030859927,61.25705316457551,lora_llama3
lora_mistral_self_refine_llama3,self_refine,self_refine,36,42.98321964666839,27.972753635372857,0.8708960976865556,0.6170227859368688,0.42197666069846007,0.5642244342675933,72.07997588014477,81.01056282029647,-8.930586940151713,62.58030454952663,59.599136213242105,2.981168336284534,0.7317525006752871,0.16666666666666666,0.6985695701624829,0.0,0.21193136787596029,0.42045303852801963,60.62577569546326,lora_mistral
lora_mistral,lora,base,36,41.1761719442641,41.99582695095687,0.8919684953159757,0.709323287717988,0.5723137065947999,0.679365163395954,75.65235939939356,81.01056282029647,-5.358203420902918,63.51064345519707,59.599136213242105,3.9115072419549697,0.8686386032428581,0.25,0.8208722900001904,0.19444444444444445,0.06251003769951065,0.18166110404439706,60.38444297919749,lora_mistral
