owner,model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,gen_do_sample,gen_no_repeat_ngram_size,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,leader_score,config_signature
hariel,llama3,hariel_llama3_cfg_1,R0,0.2,0.85,1.05,256,NA,NA,41.98432695449868,14.237674601475891,87.00041609302664,88.31434213016652,-1.3139260371398638,0.746943911730235,0.7,0.4720742278512661,0.0,0.3356134470347857,0.509976434001852,0.4832064114655826,0.2885518107534568,0.4050198262080407,73.23908399701847,51.98361474783032,21.25546924918813,0.8027568548917771,57.30087036837028,hariel | llama3 | hariel_llama3_cfg_1 | R0 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256 | do_sample=NA | ngram=NA
nancy,mistral,nancy_mistral_cfg_2,R4,0.3,0.9,1.15,400,True,4.0,41.90427518618826,14.4215827909141,76.75575229328584,88.31434213016652,-11.558589836880667,0.9023078921495348,1.2,0.5037805269684994,0.0,0.3859380532533384,0.462206278233446,0.4729949166151829,0.2807208349256412,0.3964661680867898,62.653191438650005,51.98361474783032,10.669576690819682,0.8014830052852631,57.20188532312348,nancy | mistral | nancy_mistral_cfg_2 | R4 | temp=0.3 | top_p=0.9 | rep=1.15 | max_new=400 | do_sample=True | ngram=4.0
hariel,mistral,hariel_mistral_cfg_1,R4,0.3,0.9,1.1,256,NA,NA,41.31353922333861,12.45515947670338,81.4272047049035,88.31434213016652,-6.887137425263012,1.0108245400674196,0.6,0.492429658437461,0.0,0.4037841006211319,0.4439681763669705,0.4572707476313436,0.2574432438164785,0.383889082494703,58.801008769698285,51.98361474783032,6.817394021867962,0.7990050077438354,56.74832384375658,hariel | mistral | hariel_mistral_cfg_1 | R4 | temp=0.3 | top_p=0.9 | rep=1.1 | max_new=256 | do_sample=NA | ngram=NA
hariel,llama3,hariel_llama3_cfg_1,R1,0.2,0.85,1.05,256,NA,NA,40.927673091922486,12.875786733069852,87.87603996544522,88.31434213016652,-0.4383021647212967,0.8890537025228177,0.45,0.4428897398144047,0.0,0.4314502575570412,0.5020763735491819,0.4474925459299358,0.2522016445388706,0.3949006877351675,68.92571719500158,51.98361474783032,16.94210244717126,0.7975646793842316,56.45919103052275,hariel | llama3 | hariel_llama3_cfg_1 | R1 | temp=0.2 | top_p=0.85 | rep=1.05 | max_new=256 | do_sample=NA | ngram=NA
