system_name,system_family,n_textos,sari,bleu,bertscore_f1,rouge1_f,rouge2_f,rougeL_f,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,inflesz_pred,inflesz_src,inflesz_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,leader_score,rank_leader_score,norm_sari,norm_bleu,norm_bertscore_f1,norm_rouge1_f,norm_rouge2_f,norm_rougeL_f,norm_fernandez_huerta_pred,norm_inflesz_pred,norm_exact_copy,norm_compression_ratio_eval,norm_leader_score,aux_quant_score,score_cuantitativo_integral_100,rank_cuantitativo_integral
lora_llama3,lora,36,45.340000188846574,43.80286933469419,0.8956915239493052,0.7164830679145725,0.5780174222683032,0.6868847759247666,72.74707810473795,81.01056282029647,-8.263484715558526,62.05394368587172,59.599136213242105,2.4548074726296165,0.8353162430197871,0.2777777777777778,0.8115453309455039,0.1388888888888889,0.06335244998081378,0.22193020107771066,63.031661071280155,1,1.0,1.0,1.0,1.0,1.0,1.0,0.42046170517018877,0.32504174262042074,0.2857142857142857,0.9580968391236905,1.0,0.7989314572628585,89.94657286314293,1
lora_mistral,lora,36,41.1761719442641,41.99582695095687,0.8919685118728213,0.709323287717988,0.5723137065947999,0.679365163395954,75.65235939939356,81.01056282029647,-5.358203420902918,63.51064345519707,59.599136213242105,3.9115072419549697,0.8686386032428581,0.25,0.8208722900001904,0.19444444444444445,0.06251003769951065,0.18166110404439703,60.384443641471314,4,0.6209721339146065,0.9457479752426156,0.9660715480133847,0.9772931385661636,0.9853143078013323,0.9770097644666358,0.89044741054531,0.5405063951709255,0.0,0.9468108610590837,0.7589182212266345,0.7850173534780057,77.196778735232,2
lora_llama3_self_refine_llama3,self_refine,36,44.17351321147661,28.907552814264438,0.8688236309422387,0.6183525363817687,0.43215349504822675,0.5748643600268105,70.1479362304655,81.01056282029647,-10.86262658983099,61.727772933638825,59.599136213242105,2.1286367203967327,0.730952600909366,0.19444444444444445,0.6754715358252938,0.0,0.22858827244237323,0.4423362030859927,61.25705316457551,2,0.8938162085758001,0.5528045784050084,0.755148251162078,0.6887842474539859,0.6244355678537599,0.6575121741750054,0.0,0.2767968885455508,1.0,0.660273435284765,0.838386667465948,0.6109571351455954,72.46719013057717,3
lora_mistral_self_refine_llama3,self_refine,36,42.98321964666839,27.972753635372857,0.8708960976865556,0.6170227859368688,0.42197666069846007,0.5642244342675933,72.07997588014477,81.01056282029647,-8.930586940151713,62.58030454952663,59.599136213242105,2.981168336284534,0.7317525006752871,0.16666666666666666,0.6985695701624829,0.0,0.21193136787596029,0.42045303852801963,60.62577569546326,3,0.7854653344802055,0.5247395210201781,0.7740349985010291,0.6845670147645901,0.5982326739206366,0.6249819875032011,0.31254495708817437,0.40289729185011125,1.0,0.6625561159789144,0.78089630288939,0.637001989510704,70.8949146200047,4
zero-shot_hariel_mistral_hariel_mistral_cfg_1_R4,prompting,36,36.88949274746664,13.618779636739696,0.7934984117746353,0.4279870127646375,0.22826135256999644,0.3736932882744699,73.97560094382833,81.01056282029647,-7.034961876468162,64.15999570826065,59.599136213242105,4.56085949501858,1.2004212253475723,0.75,0.43602064454530065,0.0,0.567747731543856,0.563793012239699,53.8736321194654,5,0.2307613055335931,0.09379658368291206,0.0686965208408114,0.08505013161954049,0.09946247705398582,0.04245783402592348,0.6191991472765578,0.6365539545482646,1.0,0.0,0.16597938465488565,0.2875977954581589,22.678859005652228,5
few-shot_nancy_llama3_llama3_cfg_2_R2,prompting,36,35.376242356872844,13.077614034019637,0.8080037318997912,0.4201028678771071,0.22110689791222912,0.371417159371998,73.49811423650694,81.01056282029647,-7.512448583789567,60.521654444787195,59.599136213242105,0.9225182315451019,0.9143333544504453,0.08333333333333333,0.4704203007471033,0.0,0.5288288991591366,0.6268205766385568,53.54589469011536,6,0.09301209189926159,0.07754941098744243,0.20088600809104795,0.060045986161158284,0.08104148186984836,0.035498866476515706,0.54195639375713,0.09839643389626182,1.0,0.8164113649604559,0.13613237566022868,0.30047980380991224,21.830608973507047,6
zero-shot_nancy_mistral_nancy_mistral_cfg_2_R4,prompting,36,34.354453697010584,10.494575463296075,0.7859602553976907,0.4011695571748005,0.18963152963596022,0.35980624217508345,76.32957380247792,81.01056282029647,-4.680989017818547,66.61715870137691,59.599136213242105,7.018022488134803,1.1119771166650414,0.6388888888888888,0.4091689579467172,0.0,0.5778121416882401,0.5883448338209225,52.05108243411397,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.2523936973133002,0.0,0.32523936973133,16.2619684865665,7
few-shot_hariel_llama3_llama3_cfg_3_R1,prompting,36,34.72005000129475,12.621101195649066,0.8070672700802485,0.4097612100147011,0.2188613603420853,0.3764950284016594,71.98362366816929,81.01056282029647,-9.02693915212719,59.85642206972037,59.599136213242105,0.2572858564782593,1.0625977827203914,0.16666666666666666,0.46863540600443165,0.0,0.5493750628640024,0.6451091703736926,53.114720803986785,7,0.03327975577326662,0.06384373035026697,0.19235186981028723,0.027247969234630368,0.0752597642206198,0.0510237894100016,0.29695811446709874,0.0,1.0,0.39330791817898014,0.09686542075958497,0.21332729114451512,15.509635595205005,8
