owner,model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,gen_do_sample,gen_no_repeat_ngram_size,sari,bleu,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,leader_score
hariel,llama3,hariel_llama3_cfg_1,R0,0.2,0.85,1.05,256,NA,NA,41.98432695449868,14.237674601475891,87.00041609302664,88.31434213016652,-1.3139260371398638,0.746943911730235,0.7,0.4720742278512661,0.0,0.3356134470347857,0.509976434001852,0.48320641146558263,0.2885518107534568,0.4050198262080407,73.23908399701847,51.98361474783032,21.25546924918813,0.8027568548917771,57.30087036837028
hariel,mistral,hariel_mistral_cfg_1,R4,0.3,0.9,1.1,256,NA,NA,41.31353922333861,12.455159476703379,81.4272047049035,88.31434213016652,-6.8871374252630115,1.0108245400674196,0.6,0.492429658437461,0.0,0.40378410062113196,0.44396817636697056,0.4572707476313436,0.2574432438164785,0.38388908249470305,58.801008769698285,51.98361474783032,6.817394021867962,0.7990050077438354,56.74832384375658
hariel,llama3,hariel_llama3_cfg_1,R1,0.2,0.85,1.05,256,NA,NA,40.927673091922486,12.875786733069853,87.87603996544522,88.31434213016652,-0.4383021647212967,0.8890537025228177,0.45,0.44288973981440477,0.0,0.43145025755704125,0.5020763735491819,0.4474925459299358,0.2522016445388706,0.39490068773516757,68.92571719500158,51.98361474783032,16.94210244717126,0.7975646793842316,56.45919103052275
hariel,mistral,hariel_mistral_cfg_3,R1,0.2,0.85,1.1,256,NA,NA,40.85274510540845,13.781838467984059,82.27548224423933,88.31434213016652,-6.038859885927184,1.0475263199328544,0.6,0.503822324224303,0.0,0.3590696756432146,0.39304168162208725,0.48888089092866205,0.287759901504793,0.41397034584719233,60.77077130381042,51.98361474783032,8.787156555980099,0.7984766453504563,56.45071287726332
hariel,mistral,hariel_mistral_cfg_3,R0,0.2,0.85,1.1,256,NA,NA,40.552833192297506,12.675897023133345,82.92237928254188,88.31434213016652,-5.391962847624629,0.9728685358438641,0.8,0.5398010342563195,0.0,0.3457657868143239,0.40268357721777265,0.4862295327687895,0.2718918156822404,0.4085605139491533,65.322024456294,51.98361474783032,13.338409708463677,0.7972082883119583,56.22003144785684
nancy,mistral,nancy_mistral_cfg_2,R4,0.3,0.9,1.15,400,True,4.0,41.90427518618826,14.421582790914101,76.75575229328584,88.31434213016652,-11.558589836880667,0.9023078921495349,1.2,0.5037805269684994,0.0,0.3859380532533384,0.462206278233446,0.47299491661518295,0.28072083492564126,0.3964661680867898,62.653191438650005,51.98361474783032,10.669576690819682,0.8014830052852631,57.20188532312348
nancy,mistral,nancy_mistral_cfg_1,R0,0.7,0.9,1.1,512,True,4.0,40.33694875994522,13.659721038347353,80.83989943548713,88.31434213016652,-7.474442694679387,0.9726205638449512,1.0,0.5241465241984318,0.0,0.35324449484037945,0.40368573878684283,0.4924436269540088,0.2918864481964495,0.4082204471260663,64.16456377877185,51.98361474783032,12.18094903094153,0.8020127296447754,56.28267844175815
nancy,llama3,nancy_llama3_cfg_2,R2,0.7,0.9,1.1,512,True,4.0,40.348847630598364,11.886855229055053,85.63791113717404,88.31434213016652,-2.676430992992465,0.8074707575486528,0.85,0.41159288127551924,0.0,0.49044507438439994,0.5969301932891674,0.39887312173302025,0.2150576302949831,0.34966752334888207,73.88177885175142,51.98361474783032,21.898164103921093,0.7888829499483109,55.76462657629145
nancy,mistral,nancy_mistral_cfg_2,R0,0.3,0.9,1.15,400,True,4.0,39.77797210114288,12.699615207115393,82.86280755637699,88.31434213016652,-5.451534573789514,1.0192970040489,0.75,0.4872067436529296,0.0,0.3892785246078631,0.4325550975083171,0.47103571657774157,0.26395093063002373,0.39996652785240683,64.15085703989935,51.98361474783032,12.167242292069016,0.7961443781852722,55.71255838809661
nancy,mistral,nancy_mistral_cfg_1,R3,0.7,0.9,1.1,512,True,4.0,40.73844686713954,11.308582094917632,83.35863892521841,88.31434213016652,-4.955703204948097,1.2901898671157739,1.2,0.41808224493350804,0.0,0.4794339372312299,0.4554203761137307,0.42969175926678194,0.24242546679161459,0.36879167762059195,66.17384681314208,51.98361474783032,14.190232065311752,0.776105335354805,55.487281534475926
