prompt_family,owner,model_key,config_label,ruleset,gen_temperature,gen_top_p,gen_repetition_penalty,gen_max_new_tokens,gen_do_sample,gen_no_repeat_ngram_size,sari,fernandez_huerta_pred,fernandez_huerta_src,fernandez_huerta_delta,compression_ratio_eval,sentence_splits,levenshtein_similarity,exact_copy,additions_proportion,deletions_proportion,rouge1_f,rouge2_f,rougeL_f,inflesz_pred,inflesz_src,inflesz_delta,bertscore_f1,leader_score
zero-shot,hariel,mistral,hariel_mistral_cfg_1,R4,0.3,0.9,1.1,256,NA,NA,36.17082789258502,73.97560094382831,81.01056282029647,-7.034961876468161,1.2004212253475726,0.75,0.43602064454530065,0.0,0.567747731543856,0.563793012239699,0.4279870127646376,0.22826135256999647,0.37369328827446996,64.15999570826068,59.59913621324209,4.560859495018581,0.7934984034962125,53.442432875399504
few-shot,hariel,llama3,llama3_cfg_3,R1,0.3,0.9,1.15,256,NA,NA,34.09699686042274,71.98362366816929,81.01056282029647,-9.02693915212719,1.0625977827203914,0.16666666666666666,0.46863540600443165,0.0,0.5493750628640025,0.6451091703736928,0.4097612100147011,0.21886136034208534,0.37649502840165944,59.85642206972037,59.59913621324209,0.2572858564782593,0.8070672684245639,52.7408888532362
few-shot,nancy,llama3,llama3_cfg_2,R2,0.7,0.9,1.1,512,NA,NA,33.89090602062767,73.49811423650691,81.01056282029647,-7.512448583789565,0.9143333544504451,0.08333333333333333,0.47012161496454663,0.0,0.5311437139739513,0.6282094655274457,0.42010286787710716,0.21752266852154814,0.3697336576884963,60.521654444787195,59.59913621324209,0.9225182315451019,0.8080236150158776,52.6554882130117
zero-shot,nancy,mistral,nancy_mistral_cfg_2,R4,0.3,0.9,1.15,400,True,4.0,33.30605065585334,76.32957380247792,81.01056282029647,-4.680989017818546,1.1119771166650414,0.6388888888888888,0.4091689579467172,0.0,0.5778121416882402,0.5883448338209225,0.4011695571748005,0.18963152963596025,0.3598062421750835,66.61715870137691,59.59913621324209,7.018022488134805,0.7859602255953683,51.42203941732673
